1,1
2,4
3,42
4,163
5,406
6,1980
7,2688
8,7247
9,19175
10,52148
11,533626
12,783489
13,2400593
14,10250165
15,29183516
16,46118022
,
,
1,275703
2,57224
3,179545
4,267374
5,5329
6,88272
7,10849
8,182108
9,192401
10,227126
11,68949
12,159652
13,74541
14,96556
15,565669
16,248882
,
,
1,1
2,2
3,3
4,4
5,20
6,59
7,208
8,188
9,1229
10,1220
11,3187
12,3449
13,7114
14,49400
15,209307
16,381381
,
,
1,6
2,19
3,59
4,167
5,733
6,1435
7,3177
8,5226
9,61086
10,215507
11,757855
12,1928052
