0,1,4
1,2,7
2,6,17
3,17,42
4,24,54
5,49,104
6,287,593
7,287,593
8,405,839
9,953,2046
10,1904,4036
11,7551,15924
12,14798,31055
13,24628,51514
0,1,1
1,9855,1
2,76230,1
3,37958,1
4,4763,1
5,37063,1
6,62685,1
7,37454,1
8,32694,1
9,4288,1
10,9310,1
11,63319,1
12,22230,1
13,56191,1
0,2,7
1,13,33
2,36,85
3,186,421
4,407,908
5,708,1580
6,7377,16492
7,7377,16492
8,22125,49465
9,93701,209516
10,575179,1286149
11,1479166,3307525
12,2287724,5115500
13,7520777,16816953
0,1,4
1,4,6
2,19,9
3,39,12
4,75,14
5,511,16
6,5341,19
7,5341,19
8,7390,20
9,48503,26
10,216074,29
11,870198,32
12,2040395,32
13,2763609,33
