1,1,3
2,2,5
3,3,8
4,4,11
5,27,57
6,139,264
7,294,553
8,223,411
9,583,1057
10,1265,2299
11,2572,4599
12,7553,12929
13,5393,9743
14,25156,45582
15,225565,400294
16,246149,447083
