1,1,3
2,4,9
3,42,98
4,163,370
5,406,914
6,1980,4434
7,2688,6009
8,7247,16198
9,19175,42873
10,52148,116601
11,533626,1193234
12,783489,1751929
13,2400593,5367878
14,10250165,22920057
15,29183516,65256313
16,46118022,103123014
